Obs,Study,Authors,Year_.online.,Year_.print.,Title,Journal,Pub_year_IF,X2017_IF,Average_n,Effect_type,Species,Climate_.FishBase.,Env_cue.stimulus.,Cue.stimulus_type,Behavioural_metric,Life_stage,ctrl.n,ctrl.mean,ctrl.sd,oa.n,oa.mean,oa.sd,InRR,InRR_V
630,a73,Davis et al,2017,2018,Antarctic emerald rockcod have the capacity to compensate for warming when uncoupled from CO2-acidification,Glob Change Biol,8.997,8.997,10,No,Trematomus_bernacchii,Polar,Yes,Novel object,"Time in thigmotaxic zone, High CO2, 14 days, Fig S1",Juvenile,10,23.955,24.6626,10,19.499,17.617,-0.205813888,0.187623011
540,a64,Jarrold et al,2017,2017,Diel CO2 cycles reduce severity of behavioural abnormalities in coral reef fish under ocean acidification,Sci Rep,4.122,4.122,40,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in cue, Fig 1, 1000 +- 300 uatm",Juvenile,16,4.941,5.5556,16,26.824,35,1.691729269,0.185422204
683,a81,Rodriguez-Dominguez et al,2018,2018,Irreversible behavioural impairment of fish starts early: Embryonic exposure to ocean acidification,Mar Poll Bull,3.241,3.241,4,Weak,Vincentia_badia,Temp,Yes,Shelter,"% time swimming, 8 weeks, ctrl/ctrl vs ctrl/OA",Juvenile,5,52.837,36.4747,4,47.518,28.368,-0.106103116,0.184410415
759,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,Yes,Food,"Feeding strikes, baseline, High CO2",Juvenile,36,1.807,2.976,36,1.663,3.264,-0.083044811,0.182350992
382,a38,Heinrich et al,2015,2016,Foraging behaviour of the epaulette shark Hemiscyllium ocellatum is not affected by elevated CO2,ICES J Mar Sci,2.626,2.906,11,No,Hemiscyllium_ocellatum,Trop,Yes,Habitat,"Time outside shelter, Mid CO2",Adult,11,221.0818,208.0178,11,297.2818,314.5768,0.296147742,0.1822771
386,a38,Heinrich et al,2015,2016,Foraging behaviour of the epaulette shark Hemiscyllium ocellatum is not affected by elevated CO2,ICES J Mar Sci,2.626,2.906,11,No,Hemiscyllium_ocellatum,Trop,Yes,Habitat,"Activity shelter food, Mid CO2",Adult,11,24.1545,27.8562,11,22.7364,18.3898,-0.060503534,0.180380714
708,a82,Rossi et al,2018,2018,On the wrong track: ocean acidification attracts larval fish to irrelevant environmental cues,Sci Rep,4.122,4.122,12,Strong,Lates_calcarifer,Trop,Yes,Auditory,"% time near speaker - white noise, 13 dph",Larvae,10,33.032,41.6282,10,70.194,28.5617,0.753786049,0.175376606
510,a58,Sundin & Jutfelt,2015,2016,9?28 d of exposure to elevated pCO2 reduces avoidance of predator odour but had no effect on behavioural lateralization or swimming activity in a temperate wrasse (Ctenolabrus rupestris),ICES J Mar Sci,2.626,2.906,17,Weak,Ctenolabrus_rupestris,Temp,No,NA,"Absolute lateralization, 19 days, acclimation water",Juvenile,23,29.5652,31.8346,17,16.4706,23.7016,-0.585021021,0.17222044
54,a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in cue, day 4, 700ppm (Fig 2a)",Larvae,10,1.00E-04,1.00E-04,10,48.187,40.933,13.08542965,0.172158479
376,a36,Faliero et al,2015,2015,Seahorses under a changing ocean: the impact of warming and acidification on the behaviour and physiology of a poor-swimming bony-armoured fish?,Conserv Physiol,NA,3.46,6,Strong,Hippocampus_guttulatus<ca>,Temp,No,NA,% activity,Adult,6,34.772,15.972,6,14.583,13.194,-0.868955998,0.171594185
309,a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,11,Strong,Apogon_cyanosoma,Trop,Yes,Shelter,Mean line crosses,Juvenile,10,15.455,20.1247,10,146.364,20.1247,2.248164094,0.171449545
729,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,Yes,Predator,"Posture, baseline, cue, High CO2",Juvenile,36,0.274,0.516,36,0.321,0.516,0.158313017,0.17029076
684,a81,Rodriguez-Dominguez et al,2018,2018,Irreversible behavioural impairment of fish starts early: Embryonic exposure to ocean acidification,Mar Poll Bull,3.241,3.241,4,Weak,Vincentia_badia,Temp,Yes,Shelter,"% time swimming, 12 weeks, ctrl/ctrl vs ctrl/OA",Juvenile,4,53.546,43.972,2,97.518,3.5101,0.599495879,0.169240348
61,a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus_wardi,Trop,Yes,Predator,"% time in cue, day 2, 850ppm (Fig 2b)",Larvae,10,3.099,3.944,10,85.634,16.056,3.319002922,0.165483998
72,a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,9,Strong,Pseudochromis_fuscus,Trop,No,NA,"Response time, mid CO2",Adult,9,71.078,73.6305,7,172.794,97.271,0.888322268,0.164504775
719,a84,Sundin & Jutfelt,2018,2018,Effects of elevated carbon dioxide on male and female behavioural lateralization in a temperate goby,R Soc Open Sci,2.504,2.504,21,Weak,Gobiusculus_flavescens,Temp,No,NA,"Absolute lateralization, Year 1, male",Adult,11,31.492,32.7683,19,32.521,35.4378,0.032152489,0.160923077
76,a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,9,Strong,Pseudochromis_fuscus,Trop,No,NA,"Feeding strikes, mid CO2",Adult,9,21.238,12.9685,7,8.168,7.4663,-0.955567949,0.160795707
397,a40,Lai et al,2015,2015,Altered neurotransmitter function in CO2 exposed stickleback (Gasterosteus aculeatus): a temperate model species for ocean acidification research,Conserv Physiol,NA,3.46,12,Strong,Gasterosteus_aculeatus,Subtrop,No,NA,"Absolute lateralization, 40 days",Adult,12,33.333,25.6499,13,14.228,16.856,-0.851336043,0.157308544
74,a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,9,Strong,Pseudochromis_fuscus,Trop,No,NA,"Distance from shelter, mid CO2",Adult,10,228.571,127.9964,8,290.476,289.7733,0.239674073,0.155754302
628,a73,Davis et al,2017,2018,Antarctic emerald rockcod have the capacity to compensate for warming when uncoupled from CO2-acidification,Glob Change Biol,8.997,8.997,10,No,Trematomus_bernacchii,Polar,Yes,Novel object,"Time in thigmotaxic zone, High CO2, 7 days, Fig S1",Juvenile,10,20.613,18.4993,10,24.513,21.1398,0.173281644,0.154914961
227,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Mean change shelter use, predator, Fig2",Larvae,29,81.678,102.4312,29,31.888,54.2286,-0.940554924,0.15395713
629,a73,Davis et al,2017,2018,Antarctic emerald rockcod have the capacity to compensate for warming when uncoupled from CO2-acidification,Glob Change Biol,8.997,8.997,10,No,Trematomus_bernacchii,Polar,Yes,Novel object,"Time in thigmotaxic zone, Mid CO2, 14 days, Fig S1",Juvenile,10,23.955,24.6626,10,16.713,11.4506,-0.359990211,0.152935492
415,a42,Naslund et al,2015,2015,Behavioural responses to simulated bird attacks in marine three-spined sticklebacks after exposure to high CO2 levels,Mar Freshw Res,1.583,1.674,14,No,Gasterosteus_aculeatus,Subtrop,Yes,Mimicked predator,"% time HB post attack, day 10",Adult,15,26.6,31.6162,15,36.1,33.8886,0.30538165,0.152930478
541,a64,Jarrold et al,2017,2017,Diel CO2 cycles reduce severity of behavioural abnormalities in coral reef fish under ocean acidification,Sci Rep,4.122,4.122,40,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in cue, Fig 1, 1000 +- 500 uatm",Juvenile,16,4.941,5.5556,16,29.647,31.6667,1.7917932,0.150321172
88,a6,Ferrari et al,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,20,Strong,Pomacentrus_moluccensis,Trop,Yes,Predator,"Prop change in response, 700 ppm",Juvenile,20,0.408,0.1476,20,0.182,0.3086,-0.807260487,0.150297398
90,a6,Ferrari et al,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,20,Strong,Pomacentrus_chrysurus,Trop,Yes,Predator,"Prop change in response, 700 ppm",Juvenile,20,0.501,0.0805,20,0.222,0.3801,-0.813928719,0.147865845
615,a73,Davis et al,2017,2018,Antarctic emerald rockcod have the capacity to compensate for warming when uncoupled from CO2-acidification,Glob Change Biol,8.997,8.997,10,No,Trematomus_bernacchii,Polar,Yes,Novel object,"Time in center zone, Mid CO2, 7 days, Fig S1",Juvenile,10,141.892,159.1593,10,120.27,55.0548,-0.16532699,0.146774002
79,a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation ? qualitative and quantitative effects of ocean acidification on predator?prey interactions,Ecol Lett,17.557,9.137,18,Strong,Pomacentrus_amboinensis,Trop,Yes,Prey,"Prey selectivity, small recruits",Adult,18,33.467,37.0977,14,25.93,27.0746,-0.255159279,0.146137136
109,a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,15,Strong,Pomacentrus_amboinensis,Trop,Yes,Habitat,"% time in hard coral cue, hard coral vs. rubble, 850 ppm",Larvae,15,62.5,50.8713,15,49.375,61.0456,-0.235722334,0.146073463
388,a38,Heinrich et al,2015,2016,Foraging behaviour of the epaulette shark Hemiscyllium ocellatum is not affected by elevated CO2,ICES J Mar Sci,2.626,2.906,11,No,Hemiscyllium_ocellatum,Trop,Yes,Habitat,"Total activity (line crosses), Mid CO2",Adult,10,169.9455,151.0642,10,227.5091,184.7208,0.29171244,0.144936509
758,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,Yes,Food,"Feeding strikes, baseline, Mid CO2",Juvenile,36,1.807,2.976,36,1.999,3.072,0.100979044,0.140945303
402,a41,Maneja et al,2015,2015,The swimming kinematics and foraging behavior of larval Atlantic herring (Clupea harengus L.) are unaffected by elevated pCO2,J Exp Mar Biol Ecol,1.796,1.99,25,No,Clupea_harengus,Temp,No,NA,"Move length, High CO2",Larvae,20,4.6107,5.2086,20,4.4383,5.5074,-0.038108269,0.140797686
237,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Mean change shelter use, predator, Fig3",Larvae,29,81.858,102.9967,29,31.366,49.4358,-0.959261535,0.140249457
578,a69,Sundin et al,2017,2017,No effect of elevated carbon dioxide on reproductive behaviors in the three-spined stickleback,Behav Ecol,3.347,3.347,16,No,Gasterosteus_aculeatus,Subtrop,Yes,Habitat,"# leads to nest, female free",Adult,18,5.2222,5.0591,18,8.5556,10.7003,0.49366727,0.139039256
401,a41,Maneja et al,2015,2015,The swimming kinematics and foraging behavior of larval Atlantic herring (Clupea harengus L.) are unaffected by elevated pCO2,J Exp Mar Biol Ecol,1.796,1.99,25,No,Clupea_harengus,Temp,No,NA,"Move length, Mid CO2",Larvae,20,4.6107,5.2086,20,3.8617,4.696,-0.177272188,0.137746705
357,a35,Dixson et al,2014,2015,Odor tracking in sharks is reduced under future ocean acidification conditions,Glob Change Biol,8.044,8.997,8,Strong,Mustelus_canis,Subtrop,Yes,Food,"Mean lines crossed, High CO2, non-preferred side",Adult,8,23.212,13.336,8,15.233,13.3473,-0.421205259,0.137228546
691,a81,Rodriguez-Dominguez et al,2018,2018,Irreversible behavioural impairment of fish starts early: Embryonic exposure to ocean acidification,Mar Poll Bull,3.241,3.241,4,Weak,Vincentia_badia,Temp,Yes,Shelter,"% time swimming, 4 weeks, ctrl/ctrl vs OA/OA",Juvenile,5,72.695,42.0247,5,66.312,38.8539,-0.09190173,0.1355008
353,a35,Dixson et al,2014,2015,Odor tracking in sharks is reduced under future ocean acidification conditions,Glob Change Biol,8.044,8.997,8,Strong,Mustelus_canis,Subtrop,Yes,Food,"% time in cue, High CO2",Adult,8,64.8,18.1019,8,13.6,13.5765,-1.561235811,0.134322962
686,a81,Rodriguez-Dominguez et al,2018,2018,Irreversible behavioural impairment of fish starts early: Embryonic exposure to ocean acidification,Mar Poll Bull,3.241,3.241,4,Weak,Vincentia_badia,Temp,Yes,Shelter,"% time floating, 8 weeks, ctrl/ctrl vs ctrl/OA",Juvenile,5,20.922,8.7229,4,39.858,24.912,0.644521901,0.132427383
243,a23,McCormick et al,2013,2013,Ocean acidification reverses competition for space as habitats degrade,Sci Rep,5.078,4.122,42,No,Pomacentrus_amboinensis,Trop,Yes,Shelter,Distance ventured from shelter,Larvae,29,2.258,4.222,29,8.43,4.7982,1.317317306,0.131727783
429,a42,Naslund et al,2015,2015,Behavioural responses to simulated bird attacks in marine three-spined sticklebacks after exposure to high CO2 levels,Mar Freshw Res,1.583,1.674,14,No,Gasterosteus_aculeatus,Subtrop,Yes,Mimicked predator,"% time OT post attack, day 20",Adult,14,21.3,20.14,13,21.9,20.3272,0.027779564,0.13013141
471,a51,Nadler et al,2016,2016,Effect of elevated carbon dioxide on shoal familiarity and metabolism in a coral reef fish,Conserv Physiol,2.323,3.46,15,No,Chromis_viridis,Subtrop,Yes,Kin,"Activity (turns per min), alone, 750 uatm",Not provided,10,5.106,4.2027,10,11.402,8.9967,0.80337246,0.130007119
428,a42,Naslund et al,2015,2015,Behavioural responses to simulated bird attacks in marine three-spined sticklebacks after exposure to high CO2 levels,Mar Freshw Res,1.583,1.674,14,No,Gasterosteus_aculeatus,Subtrop,No,NA,"% time OT, pre attack, day 20",Adult,14,15.8,16.2266,13,21.4,17.9358,0.303380982,0.12937222
472,a51,Nadler et al,2016,2016,Effect of elevated carbon dioxide on shoal familiarity and metabolism in a coral reef fish,Conserv Physiol,2.323,3.46,15,No,Chromis_viridis,Subtrop,Yes,Kin,"Activity (turns per min), alone, 1000 uatm",Not provided,10,5.106,4.2027,10,10.842,8.4781,0.753011162,0.128895232
627,a73,Davis et al,2017,2018,Antarctic emerald rockcod have the capacity to compensate for warming when uncoupled from CO2-acidification,Glob Change Biol,8.997,8.997,10,No,Trematomus_bernacchii,Polar,Yes,Novel object,"Time in thigmotaxic zone, Mid CO2, 7 days, Fig S1",Juvenile,10,20.613,18.4993,10,26.741,18.4993,0.260276023,0.128401154
115,a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,15,Strong,Pomacentrus_chrysurus,Trop,Yes,Habitat,"% time in hard coral cue, hard coral vs. rubble, 850 ppm",Larvae,15,37.126,48.7388,15,67.066,29.2368,0.591359676,0.127564873
116,a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,15,Strong,Pomacentrus_chrysurus,Trop,Yes,Habitat,"% time in soft coral cue, soft coral vs. rubble, 700 ppm",Larvae,15,44.311,38.9878,15,46.707,48.7388,0.052661093,0.12420405
734,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,No,NA,"Posture, first feeding, pre, Mid CO2",Juvenile,36,0.889,1.176,36,0.517,0.846,-0.542054361,0.122988263
620,a73,Davis et al,2017,2018,Antarctic emerald rockcod have the capacity to compensate for warming when uncoupled from CO2-acidification,Glob Change Biol,8.997,8.997,10,No,Trematomus_bernacchii,Polar,Yes,Novel object,"% time in center zone, High CO2, 7 days, Fig S2",Juvenile,10,33.148,23.7835,10,25.627,21.1398,-0.2573359,0.119526368
150,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Change in feeding strikes, predator, Fig 4",Juvenile,15,-69.781,30.5578,15,-13.068,16.2355,-1.675195273,0.115685875
717,a83,Sswat et al,2018,2018,"Growth performance and survival of larval Atlantic herring, under the combined effects of elevated temperatures and CO2",PloS One,2.766,2.766,9,No,Clupea_harengus,Temp,No,NA,"Mean activity (size standardized), 30 days",Larvae,12,10164.3102,9856.4,12,13197.1275,8667.4157,0.261116608,0.114305986
287,a29,Green & Jutfelt,2014,2014,Elevated carbon dioxide alters the plasma composition and behaviour of a shark,Biol Lett,3.248,3.345,7,Strong,Scyliorhinus_canicula,Subtrop,No,NA,Absolute lateralization,Adult,7,14.459,10.1491,10,30.098,19.5397,0.733141666,0.112531466
395,a39,Jutfelt & Hedgarde,2015,2015,Juvenile Atlantic cod behavior appears robust to near-future CO2 levels,Front Zool,3.042,3.627,21,No,Gadus_morhua,Temp,Yes,Shelter,Seconds before emergence,Juvenile,22,161.017,190.7967,20,142.373,140.2283,-0.123059575,0.11232771
77,a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,9,Strong,Pseudochromis_fuscus,Trop,No,NA,"Feeding strikes, high CO2",Adult,9,21.238,12.6807,7,21.535,15.3242,0.013887489,0.111949305
775,a88,Jiahuan et al,2018,2018,"Ocean Acidification Impairs Foraging Behavior by Interfering With Olfactory Neural Signal Transduction in Black Sea Bream,?Acanthopagrus schlegelii",Front Mar Sci,NA,NA,15,Strong,Acanthopagrus_schlegelii,Subtrop,Yes,Food,"Latency time, high CO2",Larvae,15,0.471,0.4996,15,2.171,1.6034,1.528085076,0.111372826
710,a82,Rossi et al,2018,2018,On the wrong track: ocean acidification attracts larval fish to irrelevant environmental cues,Sci Rep,4.122,4.122,12,Strong,Lates_calcarifer,Trop,Yes,Auditory,"% time near speaker - white noise, 15 dph",Larvae,10,49.549,39.987,10,43.097,28.5617,-0.13950869,0.1090492
580,a69,Sundin et al,2017,2017,No effect of elevated carbon dioxide on reproductive behaviors in the three-spined stickleback,Behav Ecol,3.347,3.347,16,No,Gasterosteus_aculeatus,Subtrop,Yes,Mate,Latency until first mating attempt,Adult,17,126.1176,118.9364,18,200.3333,201.4819,0.462767674,0.108509796
736,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,Yes,Predator,"Posture, first feeding, cue, Mid CO2",Juvenile,36,0.905,1.104,36,0.611,0.918,-0.392837985,0.104041706
413,a42,Naslund et al,2015,2015,Behavioural responses to simulated bird attacks in marine three-spined sticklebacks after exposure to high CO2 levels,Mar Freshw Res,1.583,1.674,14,No,Gasterosteus_aculeatus,Subtrop,No,NA,Absolute lateralization,Adult,14,69.905,22.117,13,14.929,16.7267,-1.543831547,0.103714142
241,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Number of bobbing events, combo",Larvae,15,1,4.00E-04,15,0.144,0.1782,-1.937941979,0.102093761
38,a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in cue, 8 dph, 550ppm (Fig 1)",Larvae,18,1.00E-04,1.00E-04,22,1.00E-04,1.00E-04,0,0.101010101
49,a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in cue, day 2, 850ppm (Fig 2a)",Larvae,10,1.00E-04,1.00E-04,10,79.437,7.042,13.58530463,0.100785862
52,a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in cue, day 3, 850ppm (Fig 2a)",Larvae,10,1.00E-04,1.00E-04,10,86.479,5.07,13.67024198,0.100343712
779,a89,Borges et al.,2019,2019,Ocean warming and acidification may challenge the riverward migration of glass eels,Biol Lett,3.345,3.345,8,Weak,Anguilla_anguilla,Temp,Yes,Habitat,"Number chose the kitasato with cue, FW test",Larvae,8,3.75,2.121,8,3.125,2.1671,-0.182321557,0.100100847
55,a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in cue, day 4, 850ppm (Fig 2a)",Larvae,10,1.00E-04,1.00E-04,10,89.119,2.073,13.70031293,0.100054108
709,a82,Rossi et al,2018,2018,On the wrong track: ocean acidification attracts larval fish to irrelevant environmental cues,Sci Rep,4.122,4.122,12,Strong,Lates_calcarifer,Trop,Yes,Auditory,"% time near speaker - white noise, 14 dph",Larvae,10,55.484,31.8283,10,41.032,33.4601,-0.301742441,0.099405311
405,a41,Maneja et al,2015,2015,The swimming kinematics and foraging behavior of larval Atlantic herring (Clupea harengus L.) are unaffected by elevated pCO2,J Exp Mar Biol Ecol,1.796,1.99,25,No,Clupea_harengus,Temp,No,NA,"Stop duration, Mid CO2",Larvae,19,0.118,0.1185,19,0.158,0.1481,0.291910409,0.099321165
39,a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in cue, 8 dph, 700ppm (Fig 1)",Larvae,18,1.00E-04,1.00E-04,22,43.544,42.532,12.98411229,0.098921847
621,a73,Davis et al,2017,2018,Antarctic emerald rockcod have the capacity to compensate for warming when uncoupled from CO2-acidification,Glob Change Biol,8.997,8.997,10,No,Trematomus_bernacchii,Polar,Yes,Novel object,"% time in center zone, Mid CO2, 14 days, Fig S2",Juvenile,10,22.284,14.9734,10,26.741,19.3784,0.182329036,0.097664326
117,a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,15,Strong,Pomacentrus_chrysurus,Trop,Yes,Habitat,"% time in soft coral cue, soft coral vs. rubble, 850 ppm",Larvae,15,44.311,38.9878,15,58.683,48.7388,0.280917123,0.097597961
369,a35,Dixson et al,2014,2015,Odor tracking in sharks is reduced under future ocean acidification conditions,Glob Change Biol,8.044,8.997,8,Strong,Mustelus_canis,Subtrop,Yes,Food,"% time in cue, High CO2, preferred side",Adult,8,62.766,24.0727,8,24.255,19.2588,-0.950790744,0.097194194
211,a21,Jutfelt et al,2013,2013,Behavioural Disturbances in a Temperate Fish Exposed to Sustained High-CO2 Levels,PLOS One,3.534,2.766,21,Strong,Gasterosteus_aculeatus,Subtrop,Yes,Shelter,Escape time 40 days,Adult,20,5.556,3.4659,20,32.946,41.0229,1.779991433,0.096977714
573,a69,Sundin et al,2017,2017,No effect of elevated carbon dioxide on reproductive behaviors in the three-spined stickleback,Behav Ecol,3.347,3.347,16,No,Gasterosteus_aculeatus,Subtrop,Yes,Mate + habitat,"Time fanning, female in cylinder",Adult,18,57.2778,57.6213,18,69.5,59.3625,0.193413638,0.096754424
752,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,Yes,Predator,"Posture, post DS response, cue, Mid CO2",Juvenile,36,1.14,1.224,36,0.788,1.2,-0.369285452,0.096440208
110,a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,15,Strong,Pomacentrus_amboinensis,Trop,Yes,Habitat,"% time in soft coral cue, soft coral vs. rubble, 700 ppm",Larvae,15,61.25,50.8713,15,46.875,40.6971,-0.267479365,0.096239729
699,a82,Rossi et al,2018,2018,On the wrong track: ocean acidification attracts larval fish to irrelevant environmental cues,Sci Rep,4.122,4.122,12,Strong,Lates_calcarifer,Trop,Yes,Auditory,"% time near speaker - estuary, 19 dph",Larvae,10,44.706,33.4822,10,53.333,33.4822,0.176447556,0.095504086
534,a63,Goldenberg et al,2017,2017,Boosted food web productivity through ocean acidification collapses under warming,Glob Change Biol,8.997,8.997,21,No,Favonigobius_lateralis,Temp,Yes,Prey,"Food search activity, presence",Adult,21,5.62,3.4644,21,2.366,3.0108,-0.865130898,0.095206001
737,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,Yes,Predator,"Posture, first feeding, cue, High CO2",Juvenile,36,0.905,1.104,36,0.862,1.2,-0.048679673,0.095169568
443,a44,Rossi et al,2015,2015,Ocean acidification boosts larval fish development but reduces the window of opportunity for successful settlement,Proc R Soc B,4.823,4.847,35,Strong,Lates_calcarifer,Trop,Yes,Shelter,Time to emergence,Larvae,28,34.826,42.8135,28,122.145,130.8694,1.254844629,0.094973837
735,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,No,NA,"Posture, first feeding, pre, High CO2",Juvenile,36,0.889,1.176,36,0.803,1.032,-0.101742522,0.09448835
311,a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,11,Strong,Dascyllus_aruanus,Trop,Yes,Shelter,Max distance from shelter,Juvenile,10,7.421,7.1531,10,16.561,1.7171,0.802736715,0.093985295
312,a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,11,Strong,Pomacentrus_moluccensis,Trop,Yes,Shelter,Max distance from shelter,Juvenile,10,7.421,7.1531,10,15.475,1.4293,0.734912,0.093763343
70,a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,9,Strong,Pseudochromis_fuscus,Trop,No,NA,"Line crosses, mid CO2",Adult,10,140,43.1936,8,143.415,117.4449,0.024100103,0.093346827
380,a37,Ferrari et al,2014,2015,Interactive effects of ocean acidification and rising sea temperatures alter predation rate and predator in reef fish communities selectivity,Glob Change Biol,8.044,8.997,17,Strong,Pseudochromis_fuscus,Trop,Yes,Prey,Selectivity for prey 1,Juvenile,16,0.676,0.3486,16,0.273,0.3021,-0.906721281,0.093154707
774,a88,Jiahuan et al,2018,2018,"Ocean Acidification Impairs Foraging Behavior by Interfering With Olfactory Neural Signal Transduction in Black Sea Bream,?Acanthopagrus schlegelii",Front Mar Sci,NA,NA,15,Strong,Acanthopagrus_schlegelii,Subtrop,Yes,Food,"Latency time, mid CO2",Larvae,15,0.471,0.4996,15,0.657,0.3331,0.332825924,0.092145428
619,a73,Davis et al,2017,2018,Antarctic emerald rockcod have the capacity to compensate for warming when uncoupled from CO2-acidification,Glob Change Biol,8.997,8.997,10,No,Trematomus_bernacchii,Polar,Yes,Novel object,"% time in center zone, Mid CO2, 7 days, Fig S2",Juvenile,10,33.148,23.7835,10,22.563,14.0943,-0.384670986,0.090500348
561,a65,Kwan et al,2017,2017,CO2-induced ocean acidification does not affect individual or group behaviour in a temperate damselfish,R Soc Open Sci,2.504,2.504,9,No,Chromis_punctipinnis,Subtrop,Yes,Kin,"Fig 3, Inter-individual distance, oscillating",Juvenile,6,157.4899,49.237,6,166.9176,109.5705,0.058138948,0.08810795
